# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) "
258.87279,20.71754,0.002468,0.000341,3.891937,10.25659,-9.8886,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.873DEC20.718.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8728&DEC=20.7175&SR=0.01,[[ 0.00904205  0.99095798]]
258.87074,20.71575,0.002333,0.000347,3.948938,10.94567,-9.841,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.871DEC20.716.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8707&DEC=20.7158&SR=0.01,[[ 0.01712434  0.9828757 ]]
258.83866,21.75883,0.291462,0.003662,2.208344,2.41149,-6.6704,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.839DEC21.759.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8387&DEC=21.7588&SR=0.01,[[ 0.71245891  0.28754106]]
258.83609,21.05517,0.004259,0.00033,2.084432,2.61288,-9.6567,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.836DEC21.055.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8361&DEC=21.0552&SR=0.01,[[ 0.79667419  0.20332585]]
258.82905,21.77283,0.094086,0.003655,2.321935,2.60008,-10.0722,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.829DEC21.773.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8291&DEC=21.7728&SR=0.01,[[ 0.83979547  0.16020449]]
258.80329,20.57259,0.001515,0.000239,2.848636,2.95057,-10.2913,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.803DEC20.573.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8033&DEC=20.5726&SR=0.01,[[ 0.53863162  0.46136844]]
258.7752,20.90914,0.004773,0.000374,6.028482,14.82031,-9.5537,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.775DEC20.909.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7752&DEC=20.9091&SR=0.01,[[ 0.3952865   0.60471356]]
258.77287,20.90748,0.004528,0.000372,5.75972,26.2697,-12.7378,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.773DEC20.907.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7729&DEC=20.9075&SR=0.01,[[ 0.12112328  0.87887675]]
258.77077,20.90692,0.003493,0.000371,6.11506,26.39463,-0.1214,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.771DEC20.907.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7708&DEC=20.9069&SR=0.01,[[ 0.0487311   0.95126891]]
258.76174,23.49968,0.002757,0.000192,2.338335,3.19583,-9.8576,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.762DEC23.5.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7617&DEC=23.4997&SR=0.01,[[ 0.62350875  0.37649128]]
