# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) ",,Artifact Flag
270.77251,44.99359,0.004278,0.000383,2.980807,9.2582,9.8898,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.773DEC44.994.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.7725&DEC=44.9936&SR=0.01,[[ 0.57948005  0.42051998]],,0
270.77409,44.99453,0.00395,0.000383,3.080375,10.71009,9.8305,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.774DEC44.995.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.7741&DEC=44.9945&SR=0.01,[[ 0.63966095  0.36033902]],,0
270.71656,44.94331,0.026075,0.000383,2.663087,2.30973,9.8153,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.717DEC44.943.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.7166&DEC=44.9433&SR=0.01,[[ 0.68126112  0.31873885]],,0
270.95757,44.9209,0.005096,0.000383,4.474707,2.81827,9.6649,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.958DEC44.921.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.9576&DEC=44.9209&SR=0.01,[[ 0.6111998   0.38880017]],,0
270.85033,44.77383,0.003838,0.000383,2.640104,2.25527,10.0784,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.85DEC44.774.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.8503&DEC=44.7738&SR=0.01,[[ 0.76265091  0.23734912]],,0
270.3252,44.7117,0.004405,0.000383,4.103065,2.73189,-10.2171,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.325DEC44.712.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.3252&DEC=44.7117&SR=0.01,[[ 0.78479362  0.21520638]],,0
270.80387,44.69155,0.004435,0.000383,2.614768,4.16266,9.7627,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.804DEC44.692.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.8039&DEC=44.6916&SR=0.01,[[ 0.79156697  0.20843303]],,0
271.30572,44.6778,0.006323,0.000383,2.285656,2.67542,-10.3373,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA271.306DEC44.678.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.3057&DEC=44.6778&SR=0.01,[[ 0.60644794  0.39355206]],,0
270.08958,44.6545,0.021441,0.000383,2.583151,2.28425,10.0168,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.09DEC44.655.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.0896&DEC=44.6545&SR=0.01,[[ 0.68009865  0.31990138]],,0
271.34809,44.58687,0.003998,0.000383,2.362825,2.80255,-10.1712,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA271.348DEC44.587.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.3481&DEC=44.5869&SR=0.01,[[ 0.73744464  0.26255545]],,0
270.07286,44.57851,0.125601,0.001587,2.626342,2.3228,3.6224,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.073DEC44.579.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.0729&DEC=44.5785&SR=0.01,[[ 0.744196    0.25580397]],,0
271.08991,44.54281,0.003056,0.000383,3.842757,3.23998,-10.5047,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA271.09DEC44.543.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.0899&DEC=44.5428&SR=0.01,[[ 0.75475121  0.24524885]],,0
270.07368,44.52999,0.007337,0.000383,2.657875,2.34893,-9.0121,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.074DEC44.53.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.0737&DEC=44.53&SR=0.01,[[ 0.85553437  0.1444656 ]],,0
270.36847,44.5151,0.004582,0.000383,2.515432,2.72949,8.8493,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.368DEC44.515.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.3685&DEC=44.5151&SR=0.01,[[ 0.81781793  0.18218203]],,0
271.41937,44.49077,0.00316239,0.000383,0,0,0,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA271.419DEC44.491.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.4194&DEC=44.4908&SR=0.01,[[ 0.7954964  0.2045036]],,0
270.01043,44.47833,0.003708,0.000383,6.416839,2.50291,9.7091,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.01DEC44.478.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.0104&DEC=44.4783&SR=0.01,[[ 0.79340315  0.20659684]],,0
270.54337,44.40679,0.003287,0.000383,3.190439,2.53836,-9.1557,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.543DEC44.407.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.5434&DEC=44.4068&SR=0.01,[[ 0.41085064  0.58914936]],,0
271.33872,44.33695,0.003798,0.000383,4.441833,2.92573,-9.447,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA271.339DEC44.337.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.3387&DEC=44.337&SR=0.01,[[ 0.80219048  0.19780952]],,0
270.57107,44.26181,0.006728,0.000383,2.66763,2.38817,-5.9971,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.571DEC44.262.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.5711&DEC=44.2618&SR=0.01,[[ 0.70338237  0.2966176 ]],,0
270.82144,44.12943,0.003672,0.000383,2.649787,2.38147,-8.6867,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.821DEC44.129.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.8214&DEC=44.1294&SR=0.01,[[ 0.7172457  0.2827543]],,0
270.38448,44.07254,0.633855,0.008463,2.86678,2.40596,3.7852,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.384DEC44.073.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.3845&DEC=44.0725&SR=0.01,[[ 0.79475486  0.20524514]],,0
270.33131,44.06247,0.006911,0.000608,2.073422,17.95763,-0.3168,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.331DEC44.062.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.3313&DEC=44.0625&SR=0.01,[[ 0.60041535  0.39958468]],,0
270.32768,44.06162,0.006907,0.000596,2.179888,31.37543,-0.2816,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.328DEC44.062.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.3277&DEC=44.0616&SR=0.01,[[ 0.717098    0.28290206]],,1
270.32404,44.05939,0.007641,0.000593,1.907823,31.50215,-9.7067,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.324DEC44.059.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.324&DEC=44.0594&SR=0.01,[[ 0.48513293  0.51486707]],,1
270.321,44.05882,0.006203,0.000593,2.137957,28.71807,-0.2661,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.321DEC44.059.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.321&DEC=44.0588&SR=0.01,[[ 0.31428289  0.68571711]],,1
270.28292,44.05192,0.004032,0.000592,2.295012,28.4628,-9.7268,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.283DEC44.052.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2829&DEC=44.0519&SR=0.01,[[ 0.33355904  0.66644096]],,1
270.27756,44.05011,0.003587,0.000599,2.383998,53.76095,-0.2805,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.278DEC44.05.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2776&DEC=44.0501&SR=0.01,[[ 0.07407097  0.92592907]],,1
270.26957,44.04781,0.004619,0.000624,2.11597,19.82962,-3.4501,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.27DEC44.048.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2696&DEC=44.0478&SR=0.01,[[ 0.44697967  0.55302036]],,0
